Project_ID, Client_ID, project_Name, project_Description, project_Complete_Flag, project_Pay_Type
1001, 101, Pentium, Builds Chips, True, True
1002, 100, Dell, Computers, False, False
1003, 103, Microsoft, Windows, True, False
1004, 102, Capcom, Video Games, False, True
1005, 101, Sony, Electronics, True, False
1006, 100, Sandisk, Portable Storage, True, True
1007, 101, Toshiba, Laptops, False, False
1008, 103, IBM, Machines, True, False
1009, 102, Apple, Software, False, True
1010, 101, Samsung, Televisions, True, True
